Position,Velocity,Throttle, Pitch_Angle,Pitch_Rate,Desired_Pitch,Elevator
 3.94259E+01, 5.83843E+00, 5.13696E-01, 9.66319E+00, 9.53904E-02, 1.00000E+01, 2.21752E-02
 4.06007E+01, 5.88606E+00, 5.13530E-01, 9.68143E+00, 9.03732E-02, 1.00000E+01, 2.09667E-02
 4.11917E+01, 5.90931E+00, 5.13530E-01, 9.69014E+00, 8.71201E-02, 1.00000E+01, 2.09667E-02
 4.17849E+01, 5.93224E+00, 5.13448E-01, 9.69859E+00, 8.44249E-02, 1.00000E+01, 2.04324E-02
 4.17849E+01, 5.93224E+00, 5.13448E-01, 9.69859E+00, 8.44249E-02, 1.00000E+01, 2.04324E-02
 4.29781E+01, 5.97732E+00, 5.13287E-01, 9.71491E+00, 8.01277E-02, 1.00000E+01, 1.92945E-02
 4.29781E+01, 5.97732E+00, 5.13287E-01, 9.71491E+00, 8.01277E-02, 1.00000E+01, 1.92945E-02
 4.41802E+01, 6.02118E+00, 5.13130E-01, 9.73035E+00, 7.58176E-02, 1.00000E+01, 1.82455E-02
 4.47845E+01, 6.04257E+00, 5.13053E-01, 9.73770E+00, 7.34703E-02, 1.00000E+01, 1.77808E-02
 4.47845E+01, 6.04257E+00, 5.13053E-01, 9.73770E+00, 7.34703E-02, 1.00000E+01, 1.77808E-02
 4.53908E+01, 6.06383E+00, 5.12901E-01, 9.74493E+00, 7.22967E-02, 1.00000E+01, 1.67907E-02
 4.59993E+01, 6.08463E+00, 5.12826E-01, 9.75190E+00, 6.97297E-02, 1.00000E+01, 1.63612E-02
 4.66098E+01, 6.10515E+00, 5.12826E-01, 9.75866E+00, 6.75872E-02, 1.00000E+01, 1.63612E-02
 4.78369E+01, 6.14549E+00, 5.12679E-01, 9.77173E+00, 6.41559E-02, 1.00000E+01, 1.54490E-02
 4.84534E+01, 6.16516E+00, 5.12607E-01, 9.77795E+00, 6.21855E-02, 1.00000E+01, 1.50538E-02
